dataset,instrument,asset_group,session_def,period,scope,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled,median_frac_session_to_touch
Dukascopy_1m,XAGUSD,COMMOD,RTH,2016-2026,Fri->Mon,526,248,116,0.46774193548387094,0.40660817885706335,0.5298597876369219,0.41825095057034223,0.37410071942446044,0.0936412160594105,0.009210066680336637,0.17647821385386928,0.033629172155659824,0.18997727853184232,0.12042823311227857,0.6376016761498142,0.0
Dukascopy_1m,XAUUSD,COMMOD,RTH,2016-2026,Fri->Mon,533,257,111,0.43190661478599224,0.3727886038586004,0.49303027264116855,0.40337711069418386,0.37681159420289856,0.05509502058309368,-0.028069062726641822,0.13739456840943998,0.2162787763531685,0.11232874405231774,-0.058473417736262606,-0.3105806684912616,0.0
Dukascopy_1m,POOL_COMMOD,COMMOD,RTH,2016-2026,Fri->Mon,1589,767,352,0.4589308996088657,0.4239574216618992,0.49431371012649283,0.4247954688483323,0.3929440389294404,0.06598686067942527,0.017341199919266394,0.11424492383520093,0.008288467172370287,0.13355173459169944,0.0384051671989163,0.3578150217836073,0.0
Dukascopy_1m,POOL_CRYPTO,CRYPTO,RTH,2016-2026,Fri->Mon,477,261,104,0.39846743295019155,0.340958541961664,0.45892173269018843,0.4276729559748428,0.46296296296296297,-0.06449553001277142,-0.1524608710718871,0.024469150651673405,0.16413469819077084,-0.13034528252660071,-0.4207624198633577,-2.1702046270630935,0.0
Dukascopy_1m,POOL_FX,FX,RTH,2016-2026,Fri->Mon,3312,1685,743,0.44094955489614246,0.4174039321711325,0.4647638113073109,0.43085748792270534,0.4204056545789797,0.020543900317162744,-0.013181524288357262,0.05419147975641264,0.23305770062229852,0.04149164046288156,-0.11917148724046699,-1.617741970438531,0.0
Dukascopy_1m,POOL_US_INDEX,US_INDEX,RTH,2016-2026,Fri->Mon,1036,467,217,0.46466809421841543,0.41990554488690973,0.5100071690812817,0.37065637065637064,0.29349736379613356,0.17117073042228187,0.11199811689776659,0.22902093345270585,1.699309866356901e-08,0.35502870520422625,0.4201037230259966,2.951989731907315,0.0
Dukascopy_1m,AUDUSD,FX,BROKER,2016-2026,Fri->Mon,555,297,148,0.4983164983164983,0.44183820653373623,0.5548377835245488,0.43243243243243246,0.35658914728682173,0.1417273510296766,0.0592110144048371,0.22125858139479085,0.0008174251126210601,0.2875404817874381,-0.07465363209029151,-0.36076619720616926,0.1798611111111111
Dukascopy_1m,BTCUSD,CRYPTO,BROKER,2016-2026,Fri->Mon,483,275,124,0.4509090909090909,0.39317835721796035,0.5099924262294104,0.42028985507246375,0.3798076923076923,0.07110139860139864,-0.017774011232718448,0.1576273572889786,0.1363544980455207,0.14442181904381934,-0.009342432068991597,-0.04651575636686167,0.03784722222222223
Dukascopy_1m,EURUSD,FX,BROKER,2016-2026,Fri->Mon,555,303,154,0.5082508250825083,0.4522100782615741,0.5640849817971836,0.42342342342342343,0.32142857142857145,0.18682225365393684,0.10474231800318415,0.26492198776842185,1.0362014311382693e-05,0.3817096204593189,0.18174909485876414,0.8668401679500556,0.1798611111111111
Dukascopy_1m,GBPUSD,FX,BROKER,2016-2026,Fri->Mon,554,306,141,0.46078431372549017,0.4057664120181935,0.5167746188323975,0.41696750902527074,0.3629032258064516,0.09788108791903855,0.015352800580114359,0.17801724731192314,0.02418932608207571,0.19923900354101565,-0.3431716530652651,-1.6126728570519349,0.1798611111111111
Dukascopy_1m,NAS100,US_INDEX,BROKER,2016-2026,Fri->Mon,538,239,120,0.502092050209205,0.4391731062245541,0.5649448067745535,0.395910780669145,0.3110367892976589,0.19105526091154612,0.10775621183478655,0.27124255988020635,8.622095547680306e-06,0.39173969919641194,0.43258293160951655,2.1143263414749134,0.10936329588014981
Dukascopy_1m,US500,US_INDEX,BROKER,2016-2026,Fri->Mon,538,236,116,0.4915254237288136,0.4283916327492647,0.5549306835021954,0.3680297397769517,0.271523178807947,0.22000224492086656,0.13770216769347948,0.2989614258701024,1.6602779686340597e-07,0.4576173751565511,0.45579611544978005,2.175567507242422,0.10936329588014981
