sessdef,family,rule,fill_rate,win,loss,meanR_gross_trig,n_trig,n_opp,meanR_trig,meanR_opp,medR_trig,trig_ci_lo,trig_ci_hi,p_trig_vs_zero,diff,diff_ci_lo,diff_ci_hi,p_diff
RTH,D1 short at Monday open,stop 1.0 ATR / target 1.5 ATR (1.5R),1.0,0.0335195530726257,0.05307262569832402,-0.014965169538454792,358,512,-0.04999536208327813,-0.12244059721702658,-0.1175634039658344,-0.13293673541129972,0.024596244034161333,0.185,0.07244523513374845,-0.018359989824593415,0.15929632131339452,0.12666666666666668
RTH,D1 short at Monday open,stop 1.0 ATR / target 2.0 ATR (2.0R),1.0,0.01675977653631285,0.05307262569832402,-0.016540141766075933,358,512,-0.051570334310899274,-0.12756375196503933,-0.1175634039658344,-0.13423596858098563,0.027523454840845275,0.185,0.07599341765414006,-0.01818041952378191,0.17244367606900063,0.12666666666666668
RTH,D2 short limit above open,entry +0.25 ATR / stop 0.5 / target 1.0 (2.0R),0.5919540229885057,0.0446927374301676,0.12569832402234637,-0.008343488025413954,220,295,-0.0846599750213098,-0.17795342420950566,-0.20631239161076562,-0.21267028049431372,0.05233809292246875,0.22666666666666666,0.09329344918819586,-0.07019579337353102,0.25465330143696085,0.2966666666666667
RTH,D2 short limit above open,entry +0.25 ATR / stop 0.5 / target 1.5 (3.0R),0.5919540229885057,0.00558659217877095,0.12849162011173185,-0.02932644293456702,220,295,-0.1056429299304629,-0.1725867695853894,-0.21287489296765022,-0.2368609428194811,0.03247467194608809,0.115,0.0669438396549265,-0.09740820964293623,0.22616369566065214,0.43
RTH,D2 short limit above open,entry +0.25 ATR / stop 0.5 / target 2.0 (4.0R),0.5919540229885057,0.0,0.12849162011173185,-0.03955608071487699,220,295,-0.1158725677107729,-0.1646831847683527,-0.21287489296765022,-0.25590296541683455,0.015080986444028907,0.08333333333333333,0.0488106170575798,-0.10844499058497463,0.20825826710573575,0.5416666666666666
RTH,D2 short limit above open,entry +0.25 ATR / stop 0.75 / target 1.0 (1.3R),0.5919540229885057,0.0446927374301676,0.05307262569832402,-0.0197323976356712,220,295,-0.07061005563293513,-0.12497355505120114,-0.12837734765757422,-0.1704133883044484,0.03489425651837643,0.20666666666666667,0.054363499418266015,-0.06409610771184249,0.19261959776699455,0.35333333333333333
RTH,D2 short limit above open,entry +0.25 ATR / stop 0.75 / target 1.5 (2.0R),0.5919540229885057,0.00558659217877095,0.05307262569832402,-0.03429166489156116,220,295,-0.08516932288882509,-0.11995179709789235,-0.1319905164128518,-0.18649614906844217,0.018004491047139474,0.1,0.03478247420906726,-0.08864594809260115,0.15935629830890444,0.555
RTH,D2 short limit above open,entry +0.25 ATR / stop 0.75 / target 2.0 (2.7R),0.5919540229885057,0.0,0.05307262569832402,-0.0411114234117678,220,295,-0.09198908140903173,-0.11468274055320124,-0.1319905164128518,-0.1991362370382335,0.005399195232771522,0.06666666666666667,0.022693659144169515,-0.10664109992017741,0.14649022469208212,0.715
RTH,D2 short limit above open,entry +0.5 ATR / stop 0.5 / target 1.0 (2.0R),0.30344827586206896,0.019553072625698324,0.05307262569832402,0.03864221528485348,123,141,-0.04211164010317911,-0.13947309578371886,-0.1395116209404471,-0.21901247813563637,0.14504078316786997,0.6366666666666667,0.09736145568053975,-0.11761456776860929,0.30783659998637086,0.3616666666666667
RTH,D2 short limit above open,entry +0.5 ATR / stop 0.5 / target 1.5 (3.0R),0.30344827586206896,0.00558659217877095,0.05307262569832402,0.04339986770721536,123,141,-0.037353987680817234,-0.14232440175587824,-0.1395116209404471,-0.2109838951541061,0.15456415589856656,0.6783333333333333,0.104970414075061,-0.1340329728926249,0.32698726908895004,0.34833333333333333
