sessdef,measure,label,n_trig,n_opp,trig_mean,opp_mean,diff,ci_lo,ci_hi,p_cluster,bh_rank,bh_crit,survives_BH05
RTH,ret15_atr,return 15m,467,569,0.022788304775888817,0.03171299544428344,-0.00892469066839462,-0.04239861439366501,0.022857092065051276,0.584,30.0,0.036585365853658534,False
RTH,ret30_atr,return 30m,467,569,0.0441597482365832,0.043456322661679446,0.0007034255749037571,-0.04208788182618931,0.042162242711402585,0.9653333333333334,40.0,0.04878048780487805,False
RTH,ret60_atr,return 60m,467,569,0.048907911666788116,0.047594943475735195,0.0013129681910529212,-0.05625876558809237,0.05413582969066465,0.9333333333333333,38.0,0.04634146341463415,False
RTH,dir15_up,Mon up after 15m,467,569,0.5417558886509636,0.5869947275922671,-0.04523883894130354,-0.11478773595765013,0.02539297522525722,0.21066666666666667,23.0,0.028048780487804882,False
RTH,dir30_up,Mon up after 30m,467,569,0.582441113490364,0.5940246045694201,-0.011583491079056096,-0.08022664389334197,0.06312093608221951,0.7346666666666667,32.0,0.03902439024390244,False
RTH,dir60_up,Mon up after 60m,467,569,0.5910064239828694,0.5869947275922671,0.004011696390602282,-0.07322659589388852,0.07562440439619754,0.9053333333333333,35.0,0.042682926829268296,False
RTH,first_move_dn,first 0.25-ATR move is DOWN,467,569,0.4411134903640257,0.36731107205623903,0.07380241830778667,-0.0004001099469533932,0.14452356970298028,0.05466666666666667,20.0,0.024390243902439025,False
RTH,mfe_down_atr,session max down-excursion,467,569,0.4696889288446414,0.3238699398928647,0.1458189889517767,0.08126586148598403,0.2162293639601895,0.0,3.0,0.0036585365853658543,True
RTH,mfe_up_atr,session max up-excursion,467,569,0.46933828818943407,0.3956185236777297,0.07371976451170437,0.015719787057916976,0.13339775598487888,0.014666666666666666,17.0,0.020731707317073172,True
RTH,ret_close_atr,Monday close - open,467,569,0.05036497297819714,0.10735244332330242,-0.056987470345105276,-0.15494524612532087,0.03719635254398463,0.23333333333333334,25.0,0.03048780487804878,False
RTH,mon_high_before_low,Monday high before Monday low,467,569,0.4475374732334047,0.4305799648506151,0.016957508382789588,-0.06113503740218911,0.09844522424205458,0.6493333333333333,31.0,0.03780487804878049,False
RTH,touch_Blow,touches Fri low,467,569,0.46466809421841543,0.29349736379613356,0.17117073042228187,0.10069103728447899,0.2432378771182916,0.0,4.0,0.004878048780487805,True
RTH,touch_Bhigh,touches Fri high,467,569,0.5353319057815846,0.5940246045694201,-0.05869269878783545,-0.13652375064878766,0.012826542246981496,0.11866666666666667,22.0,0.02682926829268293,False
RTH,seq_low_first,reaches Fri low BEFORE Fri high,467,569,0.41113490364025695,0.2671353251318102,0.14399957850844675,0.06921214348602663,0.21387113299634933,0.0,5.0,0.006097560975609756,True
RTH,low_by_gap,Fri low consumed by the gap,467,569,0.2334047109207709,0.10017574692442882,0.13322896399634207,0.07512095439709675,0.19487095241843105,0.0,6.0,0.007317073170731709,True
RTH,travelled_to_low,TRAVELLED to Fri low during Monday,467,569,0.23126338329764454,0.19332161687170474,0.0379417664259398,-0.022087228668825905,0.09803762910105408,0.22533333333333333,24.0,0.029268292682926834,False
RTH,Blow_by15,Fri low touched within 15m,467,569,0.29336188436830835,0.1704745166959578,0.12288736767235053,0.058573055340484965,0.1893584877529958,0.0013333333333333333,9.0,0.010975609756097562,True
RTH,Blow_by30,Fri low touched within 30m,467,569,0.3233404710920771,0.18804920913884007,0.135291261953237,0.06953387868559299,0.20413441423496256,0.0,7.0,0.00853658536585366,True
RTH,Blow_by60,Fri low touched within 60m,467,569,0.3533190578158458,0.22144112478031636,0.13187793303552947,0.05857839445268058,0.20315085441742142,0.0,8.0,0.00975609756097561,True
RTH,Bhigh_by60,Fri high touched within 60m,467,569,0.41755888650963596,0.44639718804920914,-0.028838301539573175,-0.0998423876826539,0.04651473198406866,0.464,27.0,0.032926829268292684,False
RTH,pen_after_Blow_atr,penetration beyond Fri low after touch,217,167,0.7454830495769903,0.5184223752910055,0.22706067428598475,0.06721143174816208,0.38704905853289223,0.008,14.0,0.01707317073170732,True
RTH,bounce_after_Blow_atr,bounce from Fri low after touch,217,167,0.24779920728407556,0.25920116093921186,-0.011401953655136299,-0.13321041778430304,0.10081208976204202,0.848,34.0,0.041463414634146344,False
RTH,mae_before_Blow_atr,adverse excursion before Fri-low touch,217,167,0.10313877699062496,0.11411477121257523,-0.010975994221950267,-0.04272539689050844,0.017653451331321828,0.496,29.0,0.03536585365853659,False
BROKER,gap_atr,weekend gap / ATR,475,601,-0.011136866053643123,0.007040722888713467,-0.01817758894235659,-0.0634400384622703,0.026519386578141277,0.4226666666666667,34.0,0.041463414634146344,False
BROKER,open_to_Blow_atr,Mon open above Fri low / ATR,475,601,0.43604380599090087,0.645596267753164,-0.20955246176226316,-0.2858353098778467,-0.12805150678913818,0.0,1.0,0.0012195121951219512,True
BROKER,open_loc_in_Brange,Mon open location inside Fri range,475,601,0.4649115299841633,0.6601186261000606,-0.19520709611589726,-0.2655566414989616,-0.12256276364861342,0.0,2.0,0.0024390243902439024,True
BROKER,open_below_Brange,Mon opens BELOW Fri range,475,601,0.14947368421052631,0.07653910149750416,0.07293458271302215,0.022160250835403548,0.12322294298721692,0.0013333333333333333,12.0,0.014634146341463417,True
BROKER,open_above_Brange,Mon opens ABOVE Fri range,475,601,0.11157894736842106,0.16306156405990016,-0.051482616691479105,-0.10045193570343423,-0.0026632497376847817,0.04,22.0,0.02682926829268293,False
BROKER,up5_atr,up-excursion first 5m,475,601,0.05843923484565135,0.054810633785039045,0.003628601060612302,-0.005223736139179962,0.013240941489023092,0.46266666666666667,35.0,0.042682926829268296,False
BROKER,dn5_atr,down-excursion first 5m,475,601,0.0596485009489944,0.046990966316598416,0.01265753463239598,0.0019089364780615094,0.02397919545583889,0.02266666666666667,21.0,0.025609756097560978,True
BROKER,up15_atr,up 15m,475,601,0.07662718995285134,0.0683315413544765,0.008295648598374838,-0.0031430421067818624,0.019264198972617174,0.152,25.0,0.03048780487804878,False
BROKER,dn15_atr,down 15m,475,601,0.07980909680903288,0.06116185521878336,0.018647241590249518,0.005148678147741414,0.03294387238643821,0.005333333333333333,18.0,0.021951219512195124,True
BROKER,up30_atr,up 30m,475,601,0.09474414549952972,0.07648503985693252,0.01825910564259721,0.004386001781235961,0.03289810152061513,0.009333333333333334,19.0,0.023170731707317076,True
BROKER,dn30_atr,down 30m,475,601,0.09687817257817664,0.07178378017837597,0.025094392399800672,0.0070850455117298546,0.046327132774911836,0.004,17.0,0.020731707317073172,True
BROKER,up60_atr,up 60m,475,601,0.1153892668943124,0.08924389646617924,0.02614537042813317,0.010036686343756344,0.04101590015268569,0.0026666666666666666,14.0,0.01707317073170732,True
BROKER,dn60_atr,down 60m,475,601,0.11221017875097411,0.08431165796359659,0.02789852078737752,0.009189175896631423,0.0474917445099124,0.0013333333333333333,13.0,0.015853658536585366,True
BROKER,net5_atr,net (dn-up) 5m,475,601,0.001209266103343048,-0.007819667468440629,0.009028933571783677,-0.005924667053770365,0.024109858134420892,0.26,29.0,0.03536585365853659,False
BROKER,net15_atr,net 15m,475,601,0.003181906856181541,-0.007169686135693147,0.010351592991874688,-0.008394406654396768,0.029936615201134015,0.32,30.0,0.036585365853658534,False
BROKER,net30_atr,net 30m,475,601,0.0021340270786469194,-0.004701259678556558,0.006835286757203478,-0.01858987895113448,0.03201741975318222,0.6266666666666667,37.0,0.0451219512195122,False
BROKER,net60_atr,net 60m,475,601,-0.0031790881433383113,-0.004932238502582652,0.0017531503592443406,-0.025730278268073493,0.030060803206977862,0.932,41.0,0.05000000000000001,False
BROKER,ret5_atr,return first 5m,475,601,-0.0037104472555999626,0.005154482032219608,-0.00886492928781957,-0.02205935817531565,0.0030981709239245128,0.18,27.0,0.032926829268292684,False
BROKER,ret15_atr,return 15m,475,601,9.517164639850067e-05,0.007876275340217408,-0.007781103693818908,-0.025525950969594924,0.008769404128953941,0.35733333333333334,32.0,0.03902439024390244,False
BROKER,ret30_atr,return 30m,475,601,0.006399528022069568,0.007575709347895336,-0.0011761813258257675,-0.024107359620513465,0.020139381606483424,0.928,40.0,0.04878048780487805,False
BROKER,ret60_atr,return 60m,475,601,0.013004190065543863,0.008329941042423964,0.0046742490231198985,-0.016486634504976932,0.026793720000573663,0.6453333333333333,38.0,0.04634146341463415,False
BROKER,dir15_up,Mon up after 15m,475,601,0.5031578947368421,0.5291181364392679,-0.025960241702425724,-0.09861434270157192,0.04588592771000948,0.4693333333333333,36.0,0.04390243902439025,False
BROKER,dir30_up,Mon up after 30m,475,601,0.5452631578947369,0.5357737104825291,0.009489447412207808,-0.06513570217010514,0.0791762774988521,0.82,39.0,0.047560975609756105,False
BROKER,dir60_up,Mon up after 60m,475,601,0.5368421052631579,0.4891846921797005,0.04765741308345739,-0.026062428914943647,0.1222514544666292,0.20266666666666666,28.0,0.03414634146341464,False
BROKER,first_move_dn,first 0.25-ATR move is DOWN,475,601,0.4378947368421053,0.3860232945091514,0.051871442332953877,-0.02465405031152738,0.12902140937826354,0.16133333333333333,26.0,0.03170731707317073,False
BROKER,mfe_down_atr,session max down-excursion,475,601,0.5497122828545036,0.37382218466652994,0.17589009818797363,0.09822380794132665,0.25865623870424176,0.0,3.0,0.0036585365853658543,True
BROKER,mfe_up_atr,session max up-excursion,475,601,0.5548776590074948,0.4405747265082421,0.11430293249925266,0.04808748073235918,0.18147070517671662,0.0,4.0,0.004878048780487805,True
BROKER,ret_close_atr,Monday close - open,475,601,0.07585502041412416,0.12292437113276039,-0.04706935071863623,-0.14917914750393999,0.05925850250634105,0.3893333333333333,33.0,0.04024390243902439,False
BROKER,mon_high_before_low,Monday high before Monday low,475,601,0.47157894736842104,0.4059900166389351,0.06558893072948596,-0.010251740812712417,0.13781503743530657,0.09333333333333334,23.0,0.028048780487804882,False
BROKER,touch_Blow,touches Fri low,475,601,0.4968421052631579,0.2911813643926789,0.20566074087047903,0.13137160487895783,0.2743400118020193,0.0,5.0,0.006097560975609756,True
BROKER,touch_Bhigh,touches Fri high,475,601,0.52,0.6139767054908486,-0.09397670549084858,-0.166982312639821,-0.01720143202208436,0.014666666666666666,20.0,0.024390243902439025,True
BROKER,seq_low_first,reaches Fri low BEFORE Fri high,475,601,0.4378947368421053,0.2612312811980033,0.17666345564410196,0.10351530265855102,0.24751266243201725,0.0,6.0,0.007317073170731709,True
BROKER,low_by_gap,Fri low consumed by the gap,475,601,0.14947368421052631,0.07653910149750416,0.07293458271302215,0.024431692211366478,0.1234044500848048,0.0,7.0,0.00853658536585366,True
BROKER,travelled_to_low,TRAVELLED to Fri low during Monday,475,601,0.3473684210526316,0.2146422628951747,0.1327261581574569,0.0642345697944917,0.19895842598646776,0.0,8.0,0.00975609756097561,True
BROKER,Blow_by15,Fri low touched within 15m,475,601,0.20842105263157895,0.09317803660565724,0.11524301602592171,0.06170571219759189,0.17256208803495257,0.0,9.0,0.010975609756097562,True
BROKER,Blow_by30,Fri low touched within 30m,475,601,0.21894736842105264,0.09816971713810316,0.12077765128294948,0.0616405438021985,0.17725371943812498,0.0,10.0,0.012195121951219513,True
BROKER,Blow_by60,Fri low touched within 60m,475,601,0.2294736842105263,0.1048252911813644,0.1246483930291619,0.06763562342583482,0.17811842679221976,0.0,11.0,0.013414634146341465,True
BROKER,Bhigh_by60,Fri high touched within 60m,475,601,0.1831578947368421,0.26955074875207985,-0.08639285401523775,-0.15082565726240235,-0.022718183078600605,0.0026666666666666666,15.0,0.018292682926829267,True
BROKER,pen_after_Blow_atr,penetration beyond Fri low after touch,236,175,0.6772815214778782,0.4528422406458168,0.22443928083206144,0.08312775897656008,0.35976020076228427,0.0026666666666666666,16.0,0.01951219512195122,True
BROKER,bounce_after_Blow_atr,bounce from Fri low after touch,236,175,0.4655994343972689,0.3954789496475745,0.0701204847496944,-0.022855334916387724,0.16184285937487186,0.14666666666666667,24.0,0.029268292682926834,False
BROKER,mae_before_Blow_atr,adverse excursion before Fri-low touch,236,175,0.1465574157242929,0.12721117134531146,0.019346244378981442,-0.02121516892263426,0.05840352844911932,0.3373333333333333,31.0,0.03780487804878049,False
