control,dataset,asset_group,session_def,B_weekday,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled,n,recon_accuracy,observed_uplift,shuffle_mean,shuffle_sd,shuffle_p,shuffle_q95,randtrig_mean,randtrig_sd
adjacent_weekday_down,Dukascopy_1m,FX,RTH,Fri,3336.0,1697.0,752.0,0.4431349440188568,0.41965503019171,0.46687172455131,0.43105515587529974,0.4185478950579622,0.024587048960894586,-0.009021403769705193,0.05810543558565089,0.16190517960988773,0.0496567476293901,-0.09427297011759157,-1.2866133175508232,,,,,,,,,
adjacent_weekday_down,Dukascopy_1m,US_INDEX,RTH,Fri,1085.0,490.0,229.0,0.4673469387755102,0.4235957920001688,0.5116060841719597,0.3797235023041475,0.30756302521008405,0.15978391356542615,0.10169203390318399,0.21667649404030812,8.519535998938304e-08,0.3297186157629919,0.3946553355918647,2.8709901173183594,,,,,,,,,
upside_symmetry,Dukascopy_1m,COMMOD,RTH,Fri,1629.0,929.0,511.0,0.55005382131324,0.5179223168940728,0.5817730805613226,0.4910988336402701,0.41285714285714287,0.13719667845609712,0.08830390210599158,0.18510259843883675,4.662164546791343e-08,0.2754559405061574,0.20960815856672838,1.896340625165911,,,,,,,,,
upside_symmetry,Dukascopy_1m,CRYPTO,RTH,Fri,482.0,268.0,154.0,0.5746268656716418,0.5147911365794566,0.6323534534088715,0.533195020746888,0.48130841121495327,0.09331845445668852,0.0037268260343792103,0.181018077132158,0.04368866134435602,0.18720539758368226,0.08015407074790622,0.40571901890611023,,,,,,,,,
upside_symmetry,Dukascopy_1m,FX,RTH,Fri,3336.0,1684.0,847.0,0.5029691211401425,0.4791092744493063,0.5268154526319843,0.47781774580335734,0.45217917675544794,0.05078994438469453,0.016888371609868877,0.08452469759943063,0.0035902508311299094,0.10172633802224285,-0.09651509806688113,-1.2923500982062661,,,,,,,,,
upside_symmetry,Dukascopy_1m,US_INDEX,RTH,Fri,1085.0,618.0,400.0,0.6472491909385113,0.6087726498137995,0.6839064525817824,0.5658986175115207,0.4582441113490364,0.18900507958947488,0.1295341319916332,0.24678720715145724,5.621841772989849e-10,0.38253973471815383,0.05790172893921999,0.38745424073691287,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,COMMOD,RTH,Fri,1629.0,785.0,371.0,0.4726114649681529,0.4379051826107593,0.5075844978324006,0.4910988336402701,0.5082938388625592,-0.035682373894406316,-0.08399805868869498,0.012877389467914134,0.15082997487142585,-0.0713929389728778,-0.009460115745161236,-0.08637308536256805,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,CRYPTO,RTH,Fri,482.0,262.0,143.0,0.5458015267175572,0.4852842644577974,0.6049951077156287,0.533195020746888,0.5181818181818182,0.02761970853573903,-0.0612981744715302,0.11610490633563889,0.582686165176798,0.05535999313653539,0.17193592533193916,0.8862163384761524,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,FX,RTH,Fri,3336.0,1697.0,821.0,0.48379493223335296,0.46008181320419567,0.5075812516189446,0.47781774580335734,0.47162904209884077,0.012165890134512192,-0.02171945869347077,0.046007998445092874,0.4882410079589913,0.024356595896586564,0.1470017299271183,1.9721279344026232,,,,,,,,,
placebo_wrong_direction,Dukascopy_1m,US_INDEX,RTH,Fri,1085.0,490.0,262.0,0.5346938775510204,0.4904309121355091,0.5784170944316043,0.5658986175115207,0.5915966386554622,-0.05690276110444181,-0.11575440410763052,0.002330370236620312,0.0648945708735069,-0.11479016630841476,0.25797249860791954,1.8147695851957673,,,,,,,,,
