scope,sessdef,group,n,beta_trig_raw,se_raw,z_raw,beta_trig_ctrl,se_ctrl,z_ctrl,odds_raw,odds_ctrl,beta_dist,z_dist
Mon-Thu->next,BROKER,COMMOD,6639,0.5402105194121272,0.049784246902210026,10.851033269083079,-0.07953950848453249,0.058875064227869055,-1.3509880545808683,1.7163681529687191,0.9235415315214963,-4.136732807955611,-34.4308187119805
Fri->Mon,BROKER,ALL,6494,0.5956832328656791,0.051128937222919134,11.650608544209232,0.06314673569945692,0.0588622673695801,1.0727880273958157,1.8142700905525402,1.0651831281558024,-3.621054795132971,-32.20471542013518
Mon-Thu->next,BROKER,ALL,26331,0.6433229338357437,0.02508906301986397,25.64156873161825,0.02317499646414312,0.02975896849604269,0.7787567121899706,1.9027932417606623,1.023445623242564,-4.113198682677779,-69.25647585568194
Fri->Mon,NYFX,US_INDEX,1076,0.8770714538357206,0.1284406324845995,6.828613631600457,0.4416869338828505,0.14616355962680694,3.021867659836628,2.403849603643934,1.5553287434763508,-3.4312595631251765,-13.10677104542173
Mon-Thu->next,NYFX,US_INDEX,4424,0.47283227879814,0.06138304900707087,7.70297804437302,0.09148371791002834,0.07124237920356669,1.2841193532942579,1.6045322463301512,1.095798934650444,-3.5936692010394404,-27.652091425475575
Fri->Mon,NYFX,FX,3327,0.5840154948712553,0.07126938382549902,8.194479361589542,-0.008861477842621744,0.08349623154540012,-0.10613027293098154,1.7932246774209035,0.991177669332873,-3.8941002375638654,-23.737325386850774
Mon-Thu->next,NYFX,FX,13326,0.7470691793567743,0.03530214568176571,21.162146519117986,0.021681291609513882,0.042664151808650096,0.5081852255438026,2.1108045525939665,1.021918038710916,-4.341204648326893,-50.515897589254564
Fri->Mon,NYFX,COMMOD,1608,0.528688081727196,0.10174686804267229,5.196111604196662,-0.04982747756370007,0.11838631987765195,-0.420888812281647,1.6967049096807707,0.9513935470755152,-3.695442203423212,-16.40937182055072
Mon-Thu->next,NYFX,COMMOD,6639,0.5402105194121272,0.049784246902210026,10.851033269083079,-0.07960359238951546,0.05887504385004175,-1.352076995344081,1.7163681529687191,0.9234823492700776,-4.136102833482514,-34.42815230578216
Fri->Mon,NYFX,ALL,6494,0.595075971367621,0.05107748843981967,11.65045481961685,0.05723576891286358,0.0588805515060503,0.972065774672343,1.8131686886328058,1.058905437951066,-3.6282293270653394,-32.2851114940283
Mon-Thu->next,NYFX,ALL,26331,0.6366548704549726,0.025086037047428768,25.378853951753513,0.009834462980962423,0.02979570606451101,0.3300630956578011,1.8901475039702988,1.009882980228619,-4.1243005368993995,-69.3171356585399
Fri->Mon,UTC,US_INDEX,1076,0.8566046873707768,0.12867311072907492,6.657215967789755,0.4387771802880422,0.14435104363583534,3.039653675071284,2.355150630387243,1.5508096979168795,-3.1396794297865824,-12.36783531262704
Mon-Thu->next,UTC,US_INDEX,4424,0.5147312252752624,0.061449453904641446,8.376497959998686,0.16728223801206152,0.07071997022547148,2.3654172573705474,1.6731887305161823,1.182087848355641,-3.4911696926576163,-27.277854623928995
Fri->Mon,UTC,FX,3328,0.545146578216727,0.07149559307526607,7.624897630303324,0.00914886629183574,0.08177343581737279,0.11188066393918183,1.724861190925337,1.0091908450908595,-3.4908697147624452,-22.180773417719614
Mon-Thu->next,UTC,FX,13332,0.7009175486119542,0.035214448510582676,19.904260275475103,0.03728208922860638,0.04175469558687026,0.8928837512667608,2.015601271415985,1.037985784152683,-4.0133147081072655,-48.87901377215051
Fri->Mon,UTC,COMMOD,1608,0.48158379513434496,0.10183008325239629,4.729288042912527,-0.10136078593297855,0.11794177409137523,-0.8594137803493563,1.6186359609245011,0.9036069653870645,-3.55550952320839,-15.963785520538963
Mon-Thu->next,UTC,COMMOD,6639,0.5608625508046515,0.049825717971545336,11.25648708413898,-0.03939743158809733,0.058373768298731345,-0.6749167089312884,1.7521831957020195,0.9613685549797758,-4.052330329980682,-33.74155385970607
Fri->Mon,UTC,ALL,6495,0.5604814176049951,0.05123419433363904,10.939596589635403,0.058745595636133595,0.05810092070698686,1.0110957781959764,1.7515155077613604,1.0605054092144475,-3.3344791061323393,-30.521944173580692
Mon-Thu->next,UTC,ALL,26337,0.6322385460713693,0.025073858402702844,25.215048115738618,0.049840165015112965,0.029349875389858768,1.698138896778219,1.8818184049988516,1.0511030799040355,-3.91657016813106,-67.53135054979498
Fri->Mon,LONDON,US_INDEX,1076,0.8677144120217478,0.12882368588728707,6.735674468908966,0.44104089014233944,0.1452805981514703,3.035786579585169,2.381461588531787,1.5543242575830398,-3.2366386926766886,-12.604461837159432
Mon-Thu->next,LONDON,US_INDEX,4424,0.5046185642468448,0.06142056778165516,8.215791264592676,0.1439375095463095,0.07092987563612303,2.0292931329066826,1.6563536074656529,1.154811941547909,-3.5803886876228943,-27.535168392211208
Fri->Mon,LONDON,FX,3328,0.5488109931406091,0.0714719993196788,7.678685336419598,0.013419687874043152,0.08193788585026969,0.16377879090712447,1.7311933928368828,1.013510136027826,-3.5502133997099268,-22.474590839200243
Mon-Thu->next,LONDON,FX,13332,0.696309086975756,0.035209673874783694,19.77607317386815,0.03231962116682518,0.04178217244742396,0.7735265849925382,2.0063338210293518,1.0328475725003525,-4.084487357653743,-48.985652072148454
Fri->Mon,LONDON,COMMOD,1608,0.46363721888826315,0.10173225844867302,4.557425795498112,-0.10564590958790772,0.11778663382496143,-0.896926129537791,1.5898460996719272,0.899743182111803,-3.575255417857556,-16.05194731976345
Mon-Thu->next,LONDON,COMMOD,6639,0.5652961385222076,0.04983108725309026,11.344246527295086,-0.035556568252102246,0.0584466397831394,-0.6083594948149534,1.7599689001457552,0.9650681404680124,-4.098647489656509,-33.89617517872726
Fri->Mon,LONDON,ALL,6495,0.5520011550359958,0.05119738848753389,10.781822498044077,0.05155315237549445,0.058186288414937296,0.8860017330519399,1.7367249987000555,1.0529051492146901,-3.3889816301286664,-30.906238667530396
Mon-Thu->next,LONDON,ALL,26337,0.6261971804513997,0.025066674780537337,24.981262410505344,0.04285259285932872,0.029384457125609324,1.4583421662733924,1.870483924328681,1.0437840222917298,-3.977688314374857,-67.76559355300219
