sample,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
Dukascopy NAS100+US500 BROKER,low_by_gap,475,601,0.14947368421052631,0.07653910149750416,0.07293458271302215,0.023580672955317426,0.12238804121059639,0.0
Dukascopy NAS100+US500 BROKER,travelled_to_low,475,601,0.3473684210526316,0.2146422628951747,0.1327261581574569,0.06784454269799031,0.19885344349267026,0.0
Dukascopy NAS100+US500 BROKER,gap_atr,475,601,-0.011136866053643123,0.007040722888713467,-0.01817758894235659,-0.06602440813908665,0.02828057262050565,0.429
Dukascopy NAS100+US500 BROKER,gap_frac_Brange,475,601,0.00012391311771005358,0.014290317441101385,-0.014166404323391332,-0.061850131128180046,0.03305513790910312,0.568
Dukascopy NAS100+US500 BROKER,open_loc,475,601,0.4649115299841633,0.6601186261000606,-0.19520709611589726,-0.26407349662301766,-0.12393077698988543,0.0
Dukascopy NAS100+US500 BROKER,open_below_Blow,475,601,0.14947368421052631,0.07653910149750416,0.07293458271302215,0.023318446008960284,0.12356220898551203,0.003
Dukascopy NAS100+US500 BROKER,open_above_Bhigh,475,601,0.11157894736842106,0.16306156405990016,-0.051482616691479105,-0.10020698407800208,-0.002987883049809207,0.043
Dukascopy NAS100+US500 BROKER,mfe_down_atr,475,601,0.5497122828545036,0.37382218466652994,0.17589009818797363,0.09824061213084845,0.25502269968114144,0.0
Dukascopy NAS100+US500 BROKER,mfe_up_atr,475,601,0.5548776590074948,0.4405747265082421,0.11430293249925266,0.04742693781967821,0.17723200697433403,0.001
Dukascopy NAS100+US500 BROKER,ret_close_atr,475,601,0.07585502041412416,0.12292437113276039,-0.04706935071863623,-0.15558679369918113,0.059133430101492114,0.399
