sessdef,variable,variable_label,outcome,outcome_label,n,spearman_rho,spearman_p,lo_tercile,mid_tercile,hi_tercile,hi_minus_lo,welch_p,bh_rank,bh_crit,survives_BH05
RTH,shortfall_atr,(Thu high - Fri high) / ATR,seq_low_first,Mon reaches Fri low BEFORE Fri high,467,0.08054309736778263,0.08208540874360826,0.3717948717948718,0.4258064516129032,0.4358974358974359,0.0641025641025641,0.24997514452338532,36.5,0.030416666666666668,False
RTH,shortfall_atr,(Thu high - Fri high) / ATR,dn60_atr,Mon down-excursion in first 60m / ATR,467,0.09455155867276954,0.04111404481570359,0.24318775104113483,0.2298978811661141,0.2593852503229065,0.016197499281771666,0.6025392785408011,26.5,0.022083333333333337,False
RTH,shortfall_atr,(Thu high - Fri high) / ATR,net60_atr,Mon (down - up) excursion first 60m / ATR,467,-0.02198754886442712,0.6355435122768063,0.0011049559233455952,-0.03666148781472514,-0.08837903027039502,-0.08948398619374062,0.0905818128532882,54.5,0.04541666666666667,False
RTH,shortfall_atr,(Thu high - Fri high) / ATR,ret_close_atr,Mon close - open / ATR,467,0.07827746016440174,0.09109489520341042,0.016395105498082835,0.04921497092762585,0.08547747070086627,0.06908236520278344,0.3956730702679966,39.5,0.03291666666666667,False
RTH,shortfall_atr,(Thu high - Fri high) / ATR,mfe_down_atr,Mon max down-excursion / ATR,467,0.07195425893396909,0.12047313100910442,0.42911000517966086,0.4475676465519639,0.5322473317106798,0.10313732653101898,0.08275517250074997,42.5,0.035416666666666666,False
RTH,fri_min_gap_to_Ahigh_atr,closest Fri approach to Thu high / ATR,touch_Blow,Mon touches Fri low,467,0.03888575457529334,0.40180982491130324,0.44871794871794873,0.4838709677419355,0.46153846153846156,0.01282051282051283,0.8208361786018348,50.5,0.04208333333333334,False
RTH,fri_min_gap_to_Ahigh_atr,closest Fri approach to Thu high / ATR,seq_low_first,Mon reaches Fri low BEFORE Fri high,467,0.08054309736778263,0.08208540874360826,0.3717948717948718,0.4258064516129032,0.4358974358974359,0.0641025641025641,0.24997514452338532,36.5,0.030416666666666668,False
RTH,fri_min_gap_to_Ahigh_atr,closest Fri approach to Thu high / ATR,dn60_atr,Mon down-excursion in first 60m / ATR,467,0.09455155867276954,0.04111404481570359,0.24318775104113483,0.2298978811661141,0.2593852503229065,0.016197499281771666,0.6025392785408011,26.5,0.022083333333333337,False
RTH,fri_min_gap_to_Ahigh_atr,closest Fri approach to Thu high / ATR,net60_atr,Mon (down - up) excursion first 60m / ATR,467,-0.02198754886442712,0.6355435122768063,0.0011049559233455952,-0.03666148781472514,-0.08837903027039502,-0.08948398619374062,0.0905818128532882,54.5,0.04541666666666667,False
RTH,fri_min_gap_to_Ahigh_atr,closest Fri approach to Thu high / ATR,ret_close_atr,Mon close - open / ATR,467,0.07827746016440174,0.09109489520341042,0.016395105498082835,0.04921497092762585,0.08547747070086627,0.06908236520278344,0.3956730702679966,39.5,0.03291666666666667,False
