sessdef,scope,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
RTH,opens ABOVE Fri range,Blow_by30,111,156,0.0,0.0,0.0,0.0,0.0,2.0
RTH,opens ABOVE Fri range,Blow_by60,111,156,0.0,0.00641025641025641,-0.00641025641025641,-0.02034266409266409,0.0,0.6853333333333333
RTH,opens ABOVE Fri range,net30_atr,111,156,-0.0799227061271099,-0.057583303491656426,-0.022339402635453476,-0.08916115275852834,0.047477262895718686,0.5493333333333333
RTH,opens ABOVE Fri range,net60_atr,111,156,-0.09953322064235884,-0.0720877977910088,-0.027445422851350043,-0.11791680838878334,0.06557905048883793,0.5786666666666667
RTH,opens ABOVE Fri range,ret_close_atr,111,156,0.019994839658144196,0.08645812122665938,-0.06646328156851519,-0.24410437777525928,0.1122426276971569,0.492
RTH,opens ABOVE Fri range,mfe_down_atr,111,156,0.42295592593525133,0.3223046452090151,0.10065128072623625,-0.02649895956726548,0.251175114033052,0.12266666666666666
RTH,opens ABOVE Fri range,mfe_up_atr,111,156,0.4246594502071231,0.3748748474673474,0.049784602739775696,-0.052400641045009265,0.15325651668041468,0.3293333333333333
RTH,opens ABOVE Fri range,first_move_dn,111,156,0.3783783783783784,0.3525641025641026,0.02581427581427581,-0.11744988665521355,0.17040832263069763,0.7013333333333334
RTH,opens ABOVE Fri range,or15_dn,111,156,0.3963963963963964,0.3782051282051282,0.018191268191268206,-0.11509096468856604,0.15190008441485686,0.828
RTH,opens ABOVE Fri range,or30_dn,111,156,0.36936936936936937,0.42948717948717946,-0.06011781011781009,-0.19907911508477127,0.09577494931325116,0.476
RTH,opens ABOVE Fri range,dir60_up,111,156,0.6396396396396397,0.6025641025641025,0.037075537075537124,-0.09014732537577368,0.1724825489206019,0.5213333333333333
RTH,opens BELOW Fri range (gap already through),touch_Blow,109,57,1.0,1.0,0.0,0.0,0.0,2.0
RTH,opens BELOW Fri range (gap already through),seq_low_first,109,57,1.0,1.0,0.0,0.0,0.0,2.0
RTH,opens BELOW Fri range (gap already through),Blow_by30,109,57,1.0,1.0,0.0,0.0,0.0,2.0
RTH,opens BELOW Fri range (gap already through),Blow_by60,109,57,1.0,1.0,0.0,0.0,0.0,2.0
RTH,opens BELOW Fri range (gap already through),net30_atr,109,57,-0.04691650390061206,-0.108695682562621,0.06177917866200893,-0.07909792088398358,0.19229852154593643,0.36
RTH,opens BELOW Fri range (gap already through),net60_atr,109,57,-0.1095658245480155,-0.11620444863073182,0.006638624082716316,-0.1826294557434821,0.1806621021209837,0.9973333333333333
RTH,opens BELOW Fri range (gap already through),ret_close_atr,109,57,0.11832326913041312,0.2678162942923777,-0.14949302516196455,-0.43777920644869556,0.12448037865783028,0.2946666666666667
