sessdef,variable,outcome,n,model,coef_std,ci_lo,ci_hi,p_cluster,bh_rank,bh_crit,survives_BH05
RTH,A_range_atr,seq_low_first,467,logit,-0.09439832181802905,-0.3888031826142972,0.19557568246542603,0.48333333333333334,44.0,0.02619047619047619,False
RTH,A_range_atr,dn60_atr,467,ols,0.00878580394489738,-0.02551323100725329,0.04460328806815528,0.6466666666666666,60.0,0.03571428571428571,False
RTH,A_range_atr,net60_atr,467,ols,0.0005559411180705034,-0.06410715170844279,0.06512588328545998,0.9533333333333334,83.0,0.04940476190476191,False
RTH,A_range_atr,ret_close_atr,467,ols,0.030415542811331835,-0.07753379254604328,0.1290717003022379,0.5733333333333334,55.0,0.03273809523809524,False
RTH,A_range_atr,mfe_down_atr,467,ols,0.01408907308504447,-0.06565410542848224,0.09051004408636201,0.68,63.0,0.037500000000000006,False
RTH,A_close_loc,touch_Blow,467,logit,0.11563335311585422,-0.14128545246395685,0.39001055479676033,0.42333333333333334,35.0,0.020833333333333332,False
RTH,A_close_loc,seq_low_first,467,logit,0.044350088626743014,-0.20944627569393476,0.3075453910966667,0.73,66.0,0.03928571428571429,False
RTH,A_close_loc,dn60_atr,467,ols,0.010989696876171361,-0.020745478659573987,0.04958163647048334,0.6,59.0,0.03511904761904762,False
RTH,A_close_loc,net60_atr,467,ols,0.01972048553847631,-0.042973463817639744,0.0784544692524991,0.5633333333333334,53.0,0.031547619047619054,False
RTH,A_close_loc,ret_close_atr,467,ols,-0.0814573264439881,-0.17048175566532114,-0.0006459138658142037,0.05,7.0,0.0041666666666666675,False
RTH,A_close_loc,mfe_down_atr,467,ols,0.03508795405833298,-0.020355227641201675,0.09058440052631506,0.22333333333333333,17.0,0.01011904761904762,False
RTH,A_bear,touch_Blow,467,logit,-0.14057209082050487,-0.40662810060388727,0.10650897728901332,0.23666666666666666,19.0,0.011309523809523811,False
RTH,A_bear,seq_low_first,467,logit,-0.0668165915096192,-0.32847741762894095,0.16965863339472545,0.5566666666666666,50.0,0.02976190476190476,False
RTH,A_bear,dn60_atr,467,ols,-0.0041292739022934346,-0.03547507549478461,0.02766280461335253,0.8,72.0,0.04285714285714286,False
RTH,A_bear,net60_atr,467,ols,-0.02538473731032633,-0.07707449263795166,0.02194287647266497,0.33666666666666667,24.0,0.014285714285714287,False
RTH,A_bear,ret_close_atr,467,ols,0.09688177243087558,0.01626758249064647,0.17020322987678668,0.02666666666666667,5.0,0.002976190476190476,False
RTH,A_bear,mfe_down_atr,467,ols,-0.03838151573572579,-0.08687188368007308,0.015957633173205525,0.17,14.0,0.008333333333333335,False
RTH,fri_high_before_low,touch_Blow,467,logit,-0.12716967962043332,-0.46489465203353875,0.18726981292561454,0.42,34.0,0.02023809523809524,False
RTH,fri_high_before_low,seq_low_first,467,logit,0.054771273753014646,-0.26218188270826753,0.3786566739613216,0.75,68.0,0.04047619047619048,False
RTH,fri_high_before_low,dn60_atr,467,ols,0.010602421042638682,-0.021454044653322367,0.04616394332192997,0.5333333333333333,48.0,0.028571428571428574,False
RTH,fri_high_before_low,net60_atr,467,ols,0.018777911777235718,-0.03521088294936873,0.07443386313269247,0.4666666666666667,41.0,0.024404761904761908,False
RTH,fri_high_before_low,ret_close_atr,467,ols,0.007052435282362405,-0.07971232869763299,0.09107427698151388,0.8766666666666667,76.0,0.045238095238095244,False
RTH,fri_high_before_low,mfe_down_atr,467,ols,-0.021887500059019776,-0.08832099091702124,0.045276224792739066,0.5833333333333334,57.0,0.03392857142857143,False
RTH,fri_first_hour_range_atr,touch_Blow,467,logit,-0.1516697179024196,-0.49418019896603205,0.1748685214396633,0.3433333333333333,25.0,0.01488095238095238,False
RTH,fri_first_hour_range_atr,seq_low_first,467,logit,-0.0929069941816233,-0.42508416798074705,0.1937222657083262,0.49,45.0,0.026785714285714284,False
