dataset,asset_group,session_def,period,scope,n_eligible,n_trigger,touches,hit_rate,ci95_lo,ci95_hi,base_rate_all,opposite_rate,uplift_vs_opposite,uplift_ci_lo,uplift_ci_hi,fisher_p,cohens_h,logit_beta_controlled,logit_z_controlled
Dukascopy_1m,FX,RTH,2016,Fri->Mon,312,164,59,0.3597560975609756,0.2902885412014458,0.4356432975515642,0.41025641025641024,0.46621621621621623,-0.10646011865524063,-0.21256740669591823,0.002721361313399978,0.0653322636239856,-0.21668319159962146,-0.6078857947634068,-2.488475201674744
Dukascopy_1m,FX,RTH,2017,Fri->Mon,300,153,66,0.43137254901960786,0.3555251776015447,0.5105816530929606,0.4533333333333333,0.47619047619047616,-0.0448179271708683,-0.15528283095177525,0.0671215176055093,0.4867254676894617,-0.09005248967982582,-0.3573031171483403,-1.4685127494764438
Dukascopy_1m,FX,RTH,2018,Fri->Mon,312,174,83,0.47701149425287354,0.40409859919759505,0.5509175142944458,0.4326923076923077,0.37681159420289856,0.10019990004997498,-0.01039322345859614,0.20655531265557736,0.08493175226882849,0.20294681424495087,0.32673531969131775,1.3752149552286022
Dukascopy_1m,FX,RTH,2019,Fri->Mon,312,151,74,0.4900662251655629,0.41157349587684466,0.5690518481179185,0.46153846153846156,0.43478260869565216,0.05528361646991076,-0.0548194009207975,0.16363556397272452,0.363839750356321,0.11093863915831004,-0.17162910545703083,-0.6942272389818838
Dukascopy_1m,FX,RTH,2020,Fri->Mon,306,170,76,0.4470588235294118,0.3743111320864583,0.5221462485515758,0.46078431372549017,0.47794117647058826,-0.030882352941176472,-0.14155057886412176,0.08044004795180544,0.6446786102365085,-0.06194922909485889,-0.222949003796039,-0.9390733496599736
Dukascopy_1m,FX,RTH,2021,Fri->Mon,312,160,72,0.45,0.3749863030702235,0.5273583164469271,0.4326923076923077,0.4144736842105263,0.035526315789473684,-0.07376375709840857,0.1434573192992913,0.5682650650855143,0.07173052654674339,-0.3071532985031652,-1.2070187085915467
Dukascopy_1m,FX,RTH,2022,Fri->Mon,312,151,78,0.5165562913907285,0.43743332672143076,0.5948577666206307,0.4391025641025641,0.36645962732919257,0.15009666406153588,0.039876681747501155,0.2554659119358973,0.008714290321454283,0.30348109447864013,0.4497543272979552,1.858702158571326
Dukascopy_1m,FX,RTH,2023,Fri->Mon,300,138,63,0.45652173913043476,0.37571826809265996,0.5396802331652159,0.42,0.3888888888888889,0.06763285024154586,-0.04385474511883694,0.1774114082669321,0.2432252795440131,0.13702660995397498,0.004687821738617934,0.018600718015351583
Dukascopy_1m,FX,RTH,2024,Fri->Mon,312,145,58,0.4,0.3238355156466203,0.4813262972664363,0.3974358974358974,0.39520958083832336,0.004790419161676662,-0.1025979224686134,0.1127435493755468,1.0,0.00978833711863758,-0.10256662038849662,-0.4210317167297312
Dukascopy_1m,FX,RTH,2025,Fri->Mon,312,168,69,0.4107142857142857,0.3391273539140302,0.4862931225770177,0.4166666666666667,0.4236111111111111,-0.012896825396825407,-0.12149308115783945,0.09549153748832287,0.8190231043987495,-0.02615591063730638,-0.12016363248549174,-0.5061350849406304
Dukascopy_1m,FX,RTH,2026,Fri->Mon,222,111,45,0.40540540540540543,0.31871849321461765,0.49842071578142966,0.4099099099099099,0.4144144144144144,-0.009009009009008973,-0.13614928459570255,0.11854340417005607,1.0,-0.018318096180446997,-0.24641164240295887,-0.8604669149463948
Dukascopy_1m,US_INDEX,RTH,2016,Fri->Mon,93,47,18,0.3829787234042553,0.25790681096421997,0.5257343304358642,0.3548387096774194,0.32608695652173914,0.05689176688251618,-0.13401901332404983,0.2417386943594812,0.6659513630253628,0.11901775600975029,-0.38912521566642144,-0.7123844826791415
Dukascopy_1m,US_INDEX,RTH,2017,Fri->Mon,86,35,13,0.37142857142857144,0.2316581950336571,0.5366306315640468,0.26744186046511625,0.19607843137254902,0.17535014005602242,-0.01451458949511461,0.36156192102517537,0.08616773937090463,0.39327702866405634,0.7427527351402242,1.3404447340032621
Dukascopy_1m,US_INDEX,RTH,2018,Fri->Mon,99,45,25,0.5555555555555556,0.4117613449352105,0.6906106996500243,0.42424242424242425,0.3148148148148148,0.24074074074074076,0.04512698309607102,0.4136819047388615,0.02425035106918348,0.49074872946868897,0.6372022934737072,1.2837440983430044
Dukascopy_1m,US_INDEX,RTH,2019,Fri->Mon,99,37,21,0.5675675675675675,0.4091418109016808,0.7132828072284269,0.4444444444444444,0.3709677419354839,0.19659982563208367,-0.004862761988971592,0.37880968773332885,0.0637100222703454,0.3965681709586928,0.7223004042308373,1.5767842453870362
Dukascopy_1m,US_INDEX,RTH,2020,Fri->Mon,97,51,22,0.43137254901960786,0.3050123610790954,0.5673469789069776,0.4020618556701031,0.3695652173913043,0.06180733162830354,-0.13009896057360928,0.24605286204778795,0.6786307197769232,0.12623329582555876,0.01698948071927457,0.037397743734806296
Dukascopy_1m,US_INDEX,RTH,2021,Fri->Mon,95,41,20,0.4878048780487805,0.34254429554432664,0.6351549134845619,0.3894736842105263,0.3148148148148148,0.17299006323396565,-0.023704125804431347,0.3556941606198022,0.09496319554310886,0.3550150523500699,0.10283101375240619,0.2025639704635445
Dukascopy_1m,US_INDEX,RTH,2022,Fri->Mon,98,49,31,0.6326530612244898,0.49267067560792427,0.7533482703131686,0.41836734693877553,0.20408163265306123,0.4285714285714286,0.23597007122667923,0.5786888527825452,3.162736528249639e-05,0.9018570120858309,1.5515142512821625,2.7185861387690244
Dukascopy_1m,US_INDEX,RTH,2023,Fri->Mon,94,37,14,0.3783783783783784,0.24063999175798265,0.5389956956078235,0.2765957446808511,0.21052631578947367,0.16785206258890473,-0.016369786532833053,0.34994070546053924,0.09934997769581196,0.37172897775689195,0.4619358461145178,0.7959785767312723
Dukascopy_1m,US_INDEX,RTH,2024,Fri->Mon,101,48,16,0.3333333333333333,0.21676780694818568,0.4745989029405201,0.297029702970297,0.2641509433962264,0.0691823899371069,-0.1066605669047204,0.24213178007088543,0.515920664709707,0.15137870097455708,0.06351457263637392,0.13724782141436737
Dukascopy_1m,US_INDEX,RTH,2025,Fri->Mon,102,45,20,0.4444444444444444,0.30938930034997586,0.5882386550647896,0.35294117647058826,0.2807017543859649,0.16374269005847952,-0.02205750167553766,0.33883790902666505,0.09860427565040769,0.3426953251715603,0.887297255774723,1.9219417489701505
Dukascopy_1m,US_INDEX,RTH,2026,Fri->Mon,72,32,17,0.53125,0.3644951711897464,0.6913061289193116,0.4583333333333333,0.4,0.13124999999999998,-0.09576502625128863,0.34161821425027994,0.342669766641176,0.26389868258682214,,
Dukascopy_1m,COMMOD,BROKER,2016,Fri->Mon,147,85,46,0.5411764705882353,0.4357633606996252,0.6430286818098059,0.47619047619047616,0.3870967741935484,0.15407969639468688,-0.008995293124001796,0.30491240900061867,0.0689187633056347,0.31021710237540967,-0.3143786187390019,-0.696765909356065
