scope,measure,n_trig,n_opp,trig,opp,diff,ci_lo,ci_hi,p
RTH all,one_only_0.5,467,569,0.588865096359743,0.46748681898066785,0.1213782773790752,0.05074404013180265,0.19146400017241,0.001
RTH all,neither_0.5,467,569,0.35974304068522484,0.5114235500878734,-0.1516805094026486,-0.22445604665513916,-0.07834095713471487,0.0
RTH all,up_0.75,467,569,0.1734475374732334,0.140597539543058,0.0328499979301754,-0.023118267657257142,0.0888366477561961,0.258
RTH all,dn_0.75,467,569,0.19271948608137046,0.08260105448154657,0.11011843159982389,0.05666177915551818,0.16011911223804517,0.0
RTH all,both_0.75,467,569,0.014989293361884369,0.0035149384885764497,0.011474354873307918,-0.001776357240781021,0.028833258715571745,0.109
RTH all,one_only_0.75,467,569,0.3361884368308351,0.21616871704745166,0.12001971978338344,0.055966446240726025,0.18312783225119666,0.001
RTH all,neither_0.75,467,569,0.6488222698072805,0.7803163444639719,-0.13149407465669138,-0.19651775241620187,-0.06361428488658256,0.001
RTH all,up_1.0,467,569,0.08993576017130621,0.054481546572934976,0.03545421359837123,-0.003364743741167327,0.07355121667168346,0.077
RTH all,dn_1.0,467,569,0.1284796573875803,0.0492091388400703,0.07927051854751,0.03874977724129319,0.12241883502624008,0.0
RTH all,both_1.0,467,569,0.004282655246252677,0.0,0.004282655246252677,0.0,0.010917627779423424,0.263
RTH all,one_only_1.0,467,569,0.20985010706638116,0.10369068541300527,0.10615942165337588,0.05420009838037715,0.16260866277160463,0.0
RTH all,neither_1.0,467,569,0.7858672376873662,0.8963093145869947,-0.11044207689962848,-0.17037880090745364,-0.05525171764319238,0.0
RTH all,t_first_0.25,433,504,41.378752886836025,65.96825396825396,-24.589501081417936,-35.43687226796959,-14.332136498518723,0.0
RTH all,t_first_0.5,299,278,126.68896321070234,142.14028776978418,-15.45132455908184,-36.69736732715561,7.312148895579129,0.167
RTH all,first_side_up_0.25,467,569,0.4860813704496788,0.5184534270650264,-0.03237205661534759,-0.10637715710554907,0.041931374416666486,0.373
RTH all,first_side_up_0.5,467,569,0.3468950749464668,0.28646748681898065,0.060427588127486165,-0.005300762134294608,0.130601291776573,0.071
BROKER all,up_atr,475,601,0.5548776590074948,0.4405747265082421,0.11430293249925266,0.04707695223057328,0.18140397573886471,0.0
BROKER all,dn_atr,475,601,0.5497122828545036,0.37382218466652994,0.17589009818797363,0.0963722332055166,0.2607622837534232,0.0
BROKER all,total_range_atr,475,601,1.104589941861998,0.814396911174772,0.290193030687226,0.2046779918929656,0.3727675568831083,0.0
BROKER all,larger_atr,475,601,0.8787757670103403,0.6434974654154946,0.23527830159484575,0.16031517993876107,0.3174829838315294,0.0
BROKER all,smaller_atr,475,601,0.2258141748516579,0.17089944575927749,0.054914729092380404,0.031522877419145286,0.07965965070957445,0.0
BROKER all,ratio_small_large,475,601,0.345605196040416,0.34806341522193074,-0.0024582191815147314,-0.04615448265323274,0.03854748098845771,0.907
BROKER all,larger_side_up,475,601,0.5305263157894737,0.5607321131447587,-0.030205797355284947,-0.10394379584137384,0.04219837458717575,0.433
BROKER all,high_before_low,475,601,0.47157894736842104,0.4059900166389351,0.06558893072948596,-0.005833558047249628,0.1378360982055187,0.074
BROKER all,t_high,475,601,742.0126315789473,782.6056572379367,-40.593025658989404,-107.17989011869592,27.11327256443189,0.255
BROKER all,t_low,475,601,608.3242105263158,581.6539101497505,26.670300376565365,-38.97311056458095,97.67958498040325,0.417
BROKER all,up_0.25,475,601,0.72,0.627287853577371,0.09271214642262893,0.024475003322003547,0.16040612762196918,0.007
BROKER all,dn_0.25,475,601,0.6231578947368421,0.502495840266223,0.12066205447061917,0.04702697800268356,0.19500324964120858,0.001
BROKER all,both_0.25,475,601,0.3705263157894737,0.21797004991680533,0.15255626587266838,0.08857654732406989,0.21440529796665023,0.0
BROKER all,one_only_0.25,475,601,0.6021052631578947,0.6938435940099834,-0.09173833085208871,-0.15908237119380778,-0.024491586699018353,0.002
BROKER all,neither_0.25,475,601,0.02736842105263158,0.08818635607321132,-0.060817935020579736,-0.09505731006972803,-0.027137332828757632,0.0
BROKER all,up_0.5,475,601,0.4442105263157895,0.3594009983361065,0.084809527979683,0.012426421891646553,0.15579448406829044,0.025
BROKER all,dn_0.5,475,601,0.38105263157894737,0.259567387687188,0.12148524389175935,0.051283366735711,0.19346983403249635,0.0
BROKER all,both_0.5,475,601,0.06315789473684211,0.021630615640599003,0.041527279096243104,0.013304540065446855,0.07006991004932181,0.004
BROKER all,one_only_0.5,475,601,0.6989473684210527,0.5757071547420965,0.1232402136789561,0.054322594943948775,0.19243599133896194,0.0
BROKER all,neither_0.5,475,601,0.23789473684210527,0.40266222961730447,-0.1647674927751992,-0.2291073963973147,-0.09790857936094792,0.0
BROKER all,up_0.75,475,601,0.25894736842105265,0.18801996672212978,0.07092740169892287,0.008508548753703736,0.13627001812298606,0.026
BROKER all,dn_0.75,475,601,0.24421052631578946,0.12479201331114809,0.11941851300464137,0.06433143715507893,0.17961519797736633,0.0
BROKER all,both_0.75,475,601,0.023157894736842106,0.0066555740432612314,0.016502320693580874,-0.0005593182249858326,0.03696792472506157,0.058
BROKER all,one_only_0.75,475,601,0.4568421052631579,0.2995008319467554,0.15734127331640246,0.08612216656263992,0.22687464579335084,0.0
BROKER all,neither_0.75,475,601,0.52,0.6938435940099834,-0.1738435940099834,-0.24306759580426304,-0.10562869362948213,0.0
BROKER all,up_1.0,475,601,0.13263157894736843,0.07653910149750416,0.05609247744986427,0.011792613575812641,0.10205521488310874,0.011
BROKER all,dn_1.0,475,601,0.16421052631578947,0.06988352745424292,0.09432699886154655,0.04543507190222151,0.14344253652944886,0.0
BROKER all,both_1.0,475,601,0.0,0.0016638935108153079,-0.0016638935108153079,-0.005309969873846733,0.0,0.746
BROKER all,one_only_1.0,475,601,0.2968421052631579,0.14309484193011648,0.15374726333304142,0.09055209392394038,0.2134049547098116,0.0
BROKER all,neither_1.0,475,601,0.7031578947368421,0.8552412645590682,-0.15208336982222614,-0.21185411881546498,-0.09182306011896886,0.0
BROKER all,t_first_0.25,462,548,320.25108225108227,449.07481751824815,-128.8237352671659,-178.00462617636552,-80.64328929420162,0.0
BROKER all,t_first_0.5,362,359,658.8867403314918,784.0640668523677,-125.17732652087591,-183.56462737602286,-66.60976461190369,0.0
BROKER all,first_side_up_0.25,475,601,0.5347368421052632,0.5257903494176372,0.008946492687625929,-0.06523591716502475,0.08109446348874609,0.779
BROKER all,first_side_up_0.5,475,601,0.4147368421052632,0.34608985024958405,0.06864699185567913,-0.0054354130923615915,0.14081503738952866,0.074
